0782f1d5-0eaa-45f8-bab4-1f3327c9e885___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
11798993-671f-4959-b5b9-5dec58dfa8bf___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
143dfb90-5b4b-485b-9e0d-4845af62221f___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
16b2f97c-e440-4f62-8539-7265ebe98346___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
1be44b95-8309-4d5b-9c05-e1cd48067235___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
20170826_212345_221e914d71e1deb1b49bcea8aa15e35a___1200x800.jpg,"[Imagens_aleatorias]"
20170827_132251_c6fdd4f2a54a2edff6ff8059cb2dcc15___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
20170827_134017_c6fdd4f2a54a2edff6ff8059cb2dcc15___reduced.jpg,"[Redacoes_boas(ENEM)]"
20170827_180936_11548b47f56a290739c8b39d8b5dd232___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
20170827_210140_f9e1e0af91046d60e2f6f6ec080107db___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
20170827_213912_1b6c56741cc9376999e5ecf89ad473e2___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
20170827_222211_87df843f4a61c245538b92dfb48fe9dc___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
20170827_222423_f9e3692aa0f8929b365d43125a19a920___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
20170827_224438_ccfb350541e4294206425e80ea0e92f1___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
20170827_225606_2e6f5ed81537afd4f855d7a43d1e6e19___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
20170827_230524_943368214a430920c96dc58168a98755___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
20170828_001808_6954f4616bd65f87e9f60ed9edee462b___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
20170828_004642_1c5815ca938d78b7fad9b8eb0d739a9d___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
20170828_151939_5120ee164e674aea225dbbd79766c2ae___2400x1600.jpg,"[Viradas/Rotacionadas]"
20170828_152235_dc0502dee669ae7bce9dfbb79f65322c___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
20170828_161744_19efcef8b76246c0ff7a18b1e2f83322___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
20170828_162934_121661cfdc1c3d22b639958fca0002d3___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
20170828_162939_7a932fb79e951c384e113cb3513e4274___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
20170828_163349_4b8032108b433242db5c36a45c95c75f___2400x1600.jpg,"[Redacoes_boas(ENEM)]"
